"lokalisationnummer","lokalisationsname","status","status_txt","lokalisation_art","lokalisation_art_txt","lokalisation_koord_ost","lokalisation_koord_nord","objid","lokalisation_ori","geometry"
"1185","Kürbsensteig","1","real","1","Strasse","2682185.513","1244541.971","1540","40.5","POINT (2682185.5 1244542)"
"2475","Feuersalamanderweg","1","real","1","Strasse","2681511.137","1244148.936","1541","76.4","POINT (2681511.2 1244148.9)"
"878","Höcklerbrücke","1","real","1","Strasse","2681564.384","1243991.705","1542","335.6","POINT (2681564.5 1243991.8)"
"1907","Spulenweg","1","real","1","Strasse","2681476.268","1244758.323","1543","282.2","POINT (2681476.2 1244758.4)"
"1720","Schäferweg","1","real","1","Strasse","2681347.622","1244219.361","1544","359.2","POINT (2681347.5 1244219.4)"
"2477","Allmendsteg","1","real","1","Strasse","2681851.935","1244822.976","1545","317.1","POINT (2681852 1244823)"
"1515","Owenweg","1","real","1","Strasse","2682109.856","1243607.494","1570","1.8","POINT (2682109.8 1243607.5)"
"1100","Kilchbergstrasse","1","real","1","Strasse","2682800.879","1244014.13","1573","297.0","POINT (2682801 1244014.1)"
"2304","Talweg","1","real","1","Strasse","2683162.575","1243075.33","1613","313.2","POINT (2683162.5 1243075.4)"
"2425","Spulenbrücke","1","real","1","Strasse","2681644.732","1244224.982","1648","276.8","POINT (2681644.8 1244225)"
"2426","Eidechsenweg","1","real","1","Strasse","2681859.269","1244020.308","1649","294.4","POINT (2681859.2 1244020.2)"
"1111","Klebeweg","1","real","1","Strasse","2681302.921","1242011.484","1675","3.1","POINT (2681303 1242011.5)"
"1567","Rainstrasse","1","real","1","Strasse","2682122.436","1244517.195","1848","313.5","POINT (2682122.5 1244517.2)"
"279","Bruchstrasse","1","real","1","Strasse","2681769.238","1243436.64","1882","90.0","POINT (2681769.2 1243436.6)"
"432","Eggweg","1","real","1","Strasse","2682769.88","1243933.527","1905","17.6","POINT (2682770 1243933.5)"
"2509","Wollishoferplatz","1","real","2","Platz","2682513.562","1243644.487","1923","0.0","POINT (2682513.5 1243644.5)"
"555","Forellenweg","1","real","1","Strasse","2683169.036","1243764.571","1942","289.6","POINT (2683169 1243764.6)"
"795","Haselholzweg","1","real","1","Strasse","2682255.429","1242627.453","1967","271.8","POINT (2682255.5 1242627.5)"
"2521","Uetlibergtunnel","1","real","1","Strasse","2680404.819","1244417.385","1996","348.5","POINT (2680404.8 1244417.4)"
